127.0.0.1 - - [26/Sep/2024:00:18:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Sep/2024:00:18:02 +0530] "GET /PracticeServlets/ HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [26/Sep/2024:00:20:58 +0530] "GET /PracticeServlets/login.html HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [26/Sep/2024:00:21:30 +0530] "GET /PracticeServlets/ HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [26/Sep/2024:00:21:30 +0530] "GET /PracticeServlets/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2024:00:21:31 +0530] "GET /PracticeServlets/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2024:00:21:32 +0530] "GET /PracticeServlets/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2024:00:21:33 +0530] "POST /PracticeServlets/Register HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Sep/2024:00:21:47 +0530] "POST /PracticeServlets/Register HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Sep/2024:00:21:51 +0530] "GET /PracticeServlets/ HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [26/Sep/2024:00:21:51 +0530] "GET /PracticeServlets/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2024:00:21:55 +0530] "POST /PracticeServlets/Register HTTP/1.1" 200 5
